"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","352","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:49:16 MSK 2025","passed","Mon Jun 09 11:49:16 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","450","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:48:49 MSK 2025","passed","Mon Jun 09 11:48:50 MSK 2025","TestMainPageFaq","test_main_page","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","5955","Проверка позитивного сценария оформления заказа","tests","Mon Jun 09 11:50:53 MSK 2025","passed","Mon Jun 09 11:50:59 MSK 2025","TestOrderPageOrder","test_order_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","371","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:50:09 MSK 2025","passed","Mon Jun 09 11:50:09 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","361","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:49:55 MSK 2025","passed","Mon Jun 09 11:49:55 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","378","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:49:42 MSK 2025","passed","Mon Jun 09 11:49:42 MSK 2025","TestMainPageFaq","test_main_page","",""
"","684","Проверка перехода на главную страницу сервиса при клике на лого ""Самокат"" в шапке","tests","Mon Jun 09 11:48:20 MSK 2025","passed","Mon Jun 09 11:48:21 MSK 2025","TestLogo","test_logo_click","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","401","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:49:28 MSK 2025","passed","Mon Jun 09 11:49:29 MSK 2025","TestMainPageFaq","test_main_page","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","5899","Проверка позитивного сценария оформления заказа","tests","Mon Jun 09 11:50:34 MSK 2025","passed","Mon Jun 09 11:50:40 MSK 2025","TestOrderPageOrder","test_order_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","432","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:49:03 MSK 2025","passed","Mon Jun 09 11:49:03 MSK 2025","TestMainPageFaq","test_main_page","",""
"","1935","Проверка перехода на страницу ""Дзена"" при клике на лого ""Яндекс""","tests","Mon Jun 09 11:48:34 MSK 2025","passed","Mon Jun 09 11:48:36 MSK 2025","TestLogo","test_logo_click","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","382","Проверка раздела ""Вопросы о важном""","tests","Mon Jun 09 11:50:21 MSK 2025","passed","Mon Jun 09 11:50:22 MSK 2025","TestMainPageFaq","test_main_page","",""
